LMO3,PCSK5,VSIG1,BACH2,PDGFRB,CR2,RASL11A,RTN2,LGR6,TPT1,TNS3,DUSP6,ITGB1BP2,FAM83A,AZGP1,SCGB3A1,IFI27,STK32A,METRNL,SIX5,CD163L1,PCDHB9,LDLRAD3,ALOX15B,GLTPD2,DCUN1D3,TPSB2,ERVMER341,MTRNR2L12,AC005832.4,TBCE,group
7,856,19,29,2,28,55,140,37,4112,108,168,8,318,33,5,255,14,127,38,1,9,18,5,48,259,43,34,9,13,356,0
1,1295,3,6,0,0,1,0,23,605,21,36,1,446,9,2,448,0,13,0,0,1,1,1,0,44,0,0,13,0,59,0
17,570,21,81,1,19,5,10,184,2405,125,168,8,19799,15,48,995,26,123,58,2,4,5,2,19,378,8,7,8,3,559,0
40,435,22,84,0,24,22,10,47,3104,99,74,5,2260,82,513,1799,2,117,67,2,28,32,17,21,162,9,39,8,0,1661,0
9,1722,49,2,54,54,214,200,205,18320,480,282,15,8175,79,1002,814,297,176,186,0,0,26,65,78,302,105,50,377,0,805,0
18,233,11,14,1,5,1,21,16,1712,60,54,5,1745,23,11,532,2,67,31,1,18,5,1,9,116,2,15,9,6,387,0
3,150,1,0,3,0,47,2,3,670,5,17,0,32,24,0,6,0,105,5,0,29,4,0,7,55,1,0,2,2,83,0
11,22,0,2,16,1,4,2,3,1647,10,46,0,371,22,5,77,0,23,17,3,11,0,19,0,734,4,4,46,3,42,0
26,2647,0,2,5,5,13,3,13,1421,52,76,0,177,15,24,347,0,19,0,0,1,0,5,1,57,0,0,12,8,691,0
3,199,3,21,9,2,1,4,1,366,184,110,1,46,1,3,48,0,95,4,0,1,1,0,3,142,3,0,0,0,26,0
0,117,4,118,8,0,1,0,5,526,0,37,0,38,13,0,75,0,52,0,0,0,1,6,0,18,0,0,1,0,215,0
26,2395,55,271,123,81,75,108,60,8980,311,421,20,1016,156,592,158,2,171,119,40,28,6,117,47,478,2,52,443,34,301,0
0,74,0,6,22,0,6,1,2,397,18,8,2,93,19,2,75,0,31,11,0,8,1,2,2,1093,0,3,35,0,15,0
0,197,4,8,1,21,15,98,21,3245,293,322,7,641,29,30,28,6,338,9,0,2,15,5,76,929,3,2,4,0,247,0
8,2377,60,167,102,50,31,125,13,9363,572,1404,22,1507,30,8,2548,7,762,142,8,13,71,7,95,2134,339,16,413,0,534,0
10,3799,43,339,93,35,103,30,9,6868,115,299,63,988,366,240,1151,1,420,156,6,25,41,34,74,680,17,64,628,15,337,0
21,41,0,16,0,1,0,19,5,391,13,55,1,63,1,0,7,0,106,1,45,4,0,2,2,335,0,0,2,0,7,0
25,1124,35,173,67,28,61,230,80,38186,971,1304,34,11025,111,312,3316,155,743,265,29,44,89,20,104,926,223,108,695,17,2005,0
15,957,35,708,65,130,23,184,4,13059,1828,1261,30,1515,99,9,62,4,992,36,15,27,14,13,23,1126,11,37,124,0,232,0
16,919,53,34,83,5,76,118,38,8910,164,113,24,3250,122,641,386,19,84,229,0,38,12,54,45,209,26,31,244,45,4086,0
12,11981,13,9,2,13,26,6,72,3981,49,31,3,2440,18,274,223,30,33,40,1,4,42,21,16,51,1,53,27,18,371,0
11,41,0,4,0,1,0,12,0,322,5,96,1,24,2,3,24,6,44,3,0,2,1,1,1,372,0,0,0,1,4,0
5,15690,27,137,29,12,12,15,55,6912,396,303,13,979,49,3,2128,9,176,48,12,5,31,9,21,122,111,37,10,6,211,0
14,614,31,17,22,9,4,69,6,4206,391,300,9,186,44,0,187,0,667,4,0,11,94,17,14,1017,5,11,23,0,112,0
11,53,3,3,17,7,0,8,13,1318,235,70,1,174,21,8,16,0,152,6,10,1,4,1,10,436,6,8,0,0,109,0
0,161,91,4,363,1,0,0,6,16696,244,177,0,251,13,1151,443,0,537,62,0,0,88,6,174,263,0,0,22,0,204,0
2,120,0,1,17,0,0,33,6,7017,1207,553,0,403,166,49,185,0,113,0,0,0,0,0,207,537,0,0,82,0,1893,0
22,191,4,48,1,0,3,18,32,2640,75,136,2,1613,10,50,211,36,26,16,0,25,8,4,9,46,6,11,6,0,618,0
0,9,0,2,0,0,0,5,12,1231,39,78,0,104,14,10,48,0,19,7,7,1,0,3,0,141,2,15,6,2,410,0
2,234,1,45,107,26,1,21,18,2582,233,44,1,258,28,4,14,1,55,12,0,5,1,13,10,564,12,4,20,0,163,0
5,2988,18,52,8,17,8,8,300,4693,133,73,19,2580,82,22,3105,15,73,61,6,8,1,14,23,85,12,36,12,7,4922,0
14,1607,13,208,124,50,22,97,41,7109,300,238,6,732,61,180,1224,47,219,118,17,2,0,72,36,982,0,72,763,0,428,0
0,47,12,64,1,3,12,141,31,3349,12,320,3,85,0,0,3,3,1441,0,0,7,5,7,73,686,13,6,0,0,207,0
3,179,0,3,141,0,20,38,4,10193,94,292,0,1707,159,157,237,0,167,172,1,41,0,0,0,238,2,0,312,54,1971,0
4,230,10,23,0,1,4,10,11,1823,48,33,4,2617,4,1,1142,0,10,37,0,8,4,4,9,60,2,14,4,9,403,0
8,497,26,136,43,20,20,198,31,11835,675,716,17,1458,27,57,373,6,1449,130,7,25,39,16,154,1620,187,11,94,0,628,0
17,340,7,11,120,0,59,42,10,5196,5,87,0,108,32,95,126,12,57,41,0,1,1,29,0,133,0,38,65,15,581,0
10,476,3,379,166,9,17,0,5,2503,79,153,7,798,29,3,1809,0,47,25,1,25,1,20,0,250,0,30,80,37,838,0
21,1799,58,48,37,34,52,79,33,10059,193,259,28,3086,50,1236,742,28,172,228,11,30,14,28,68,270,134,22,210,0,300,0
0,39,4,24,10,0,0,0,21,1271,20,39,0,64,32,0,397,0,21,0,0,0,0,0,10,20,0,0,8,0,421,0
3,677,16,77,1,5,32,56,76,6809,57,72,8,2804,14,46,338,6,50,56,3,2,43,15,30,47,8,40,8,13,136,0
2,50,5,31,8,9,13,54,15,3438,24,439,7,95,7,1,10,0,486,0,2,4,1,5,47,733,0,6,4,0,556,0
